"","X","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread","is.token","eth.based"
"3987",3987,"ethereum","ETH","Ethereum","2015-08-07",3,2.83,3.54,2.52,2.77,164329,166610555,0.2451,1.02,FALSE,FALSE
"3988",3988,"ethereum","ETH","Ethereum","2015-08-08",3,2.79,2.8,0.714725,0.753325,674188,45486894,0.0185,2.09,FALSE,FALSE
"3989",3989,"ethereum","ETH","Ethereum","2015-08-09",3,0.706136,0.87981,0.629191,0.701897,532170,42399573,0.2901,0.25,FALSE,FALSE
"3990",3990,"ethereum","ETH","Ethereum","2015-08-10",3,0.713989,0.729854,0.636546,0.708448,405283,42818364,0.7706,0.09,FALSE,FALSE
"3991",3991,"ethereum","ETH","Ethereum","2015-08-11",3,0.708087,1.13,0.663235,1.07,1463100,64569288,0.8715,0.47,FALSE,FALSE
"3992",3992,"ethereum","ETH","Ethereum","2015-08-12",3,1.06,1.29,0.883608,1.22,2150620,73645011,0.8278,0.41,FALSE,FALSE
"3993",3993,"ethereum","ETH","Ethereum","2015-08-13",3,1.22,1.97,1.17,1.83,4068680,110607192,0.825,0.8,FALSE,FALSE
"3994",3994,"ethereum","ETH","Ethereum","2015-08-14",3,1.81,2.26,1.75,1.83,4637030,110672322,0.1569,0.51,FALSE,FALSE
"3995",3995,"ethereum","ETH","Ethereum","2015-08-15",3,1.8,1.88,1.57,1.69,2554360,102303608,0.3871,0.31,FALSE,FALSE
"3996",3996,"ethereum","ETH","Ethereum","2015-08-16",3,1.68,1.7,1.09,1.57,3550790,94901005,0.7869,0.61,FALSE,FALSE
"3997",3997,"ethereum","ETH","Ethereum","2015-08-17",3,1.58,1.58,1.19,1.2,1942830,87295367,0.0256,0.39,FALSE,FALSE
"3998",3998,"ethereum","ETH","Ethereum","2015-08-18",3,1.22,1.33,1.09,1.09,1485680,78868413,0,0.24,FALSE,FALSE
"3999",3999,"ethereum","ETH","Ethereum","2015-08-19",3,1.17,1.32,1.17,1.26,1486240,91366391,0.6,0.15,FALSE,FALSE
"4000",4000,"ethereum","ETH","Ethereum","2015-08-20",3,1.25,1.53,1.25,1.46,2843760,106351420,0.75,0.28,FALSE,FALSE
"4001",4001,"ethereum","ETH","Ethereum","2015-08-21",3,1.48,1.56,1.35,1.4,2020970,101331856,0.2381,0.21,FALSE,FALSE
"4002",4002,"ethereum","ETH","Ethereum","2015-08-22",3,1.4,1.48,1.35,1.38,948310,100201826,0.2308,0.13,FALSE,FALSE
"4003",4003,"ethereum","ETH","Ethereum","2015-08-23",3,1.38,1.41,1.3,1.35,1589300,98300351,0.4545,0.11,FALSE,FALSE
"4004",4004,"ethereum","ETH","Ethereum","2015-08-24",3,1.35,1.36,1.23,1.23,924920,89515257,0,0.13,FALSE,FALSE
"4005",4005,"ethereum","ETH","Ethereum","2015-08-25",3,1.23,1.24,1.13,1.14,1307180,82922633,0.0909,0.11,FALSE,FALSE
"4006",4006,"ethereum","ETH","Ethereum","2015-08-26",3,1.13,1.2,1.06,1.16,1056750,84390924,0.7143,0.14,FALSE,FALSE
"4007",4007,"ethereum","ETH","Ethereum","2015-08-27",3,1.17,1.19,1.14,1.15,686662,83524585,0.2,0.05,FALSE,FALSE
"4008",4008,"ethereum","ETH","Ethereum","2015-08-28",3,1.15,1.21,1.12,1.19,721872,86731077,0.7778,0.09,FALSE,FALSE
"4009",4009,"ethereum","ETH","Ethereum","2015-08-29",3,1.19,1.21,1.15,1.18,375377,86113895,0.5,0.06,FALSE,FALSE
"4010",4010,"ethereum","ETH","Ethereum","2015-08-30",3,1.18,1.37,1.17,1.32,1337650,96097349,0.75,0.2,FALSE,FALSE
"4011",4011,"ethereum","ETH","Ethereum","2015-08-31",3,1.32,1.4,1.2,1.36,1447180,98963975,0.8,0.2,FALSE,FALSE
"4012",4012,"ethereum","ETH","Ethereum","2015-09-01",3,1.35,1.39,1.34,1.35,778862,98507500,0.2,0.05,FALSE,FALSE
"4013",4013,"ethereum","ETH","Ethereum","2015-09-02",3,1.35,1.35,1.26,1.29,883769,94389544,0.3333,0.09,FALSE,FALSE
"4014",4014,"ethereum","ETH","Ethereum","2015-09-03",3,1.3,1.31,1.21,1.26,702991,92234142,0.5,0.1,FALSE,FALSE
"4015",4015,"ethereum","ETH","Ethereum","2015-09-04",3,1.26,1.3,1.24,1.27,474391,92953701,0.5,0.06,FALSE,FALSE
"4016",4016,"ethereum","ETH","Ethereum","2015-09-05",3,1.28,1.34,1.27,1.34,448453,97683883,1,0.07,FALSE,FALSE
"4017",4017,"ethereum","ETH","Ethereum","2015-09-06",3,1.34,1.37,1.29,1.3,491968,94580164,0.125,0.08,FALSE,FALSE
"4018",4018,"ethereum","ETH","Ethereum","2015-09-07",3,1.3,1.31,1.24,1.25,489014,91020735,0.1429,0.07,FALSE,FALSE
"4019",4019,"ethereum","ETH","Ethereum","2015-09-08",3,1.25,1.28,1.23,1.24,427892,90743242,0.2,0.05,FALSE,FALSE
"4020",4020,"ethereum","ETH","Ethereum","2015-09-09",3,1.24,1.26,1.2,1.21,366748,88150125,0.1667,0.06,FALSE,FALSE
"4021",4021,"ethereum","ETH","Ethereum","2015-09-10",3,1.21,1.22,1.14,1.17,662782,85202732,0.375,0.08,FALSE,FALSE
